Serial_No,Drug_Name,Batch_No,Manufacturing_Date,Expiry_Date,Manufacturer,Failure_Reason,Laboratory,Drawn_By,Remarks,Status,Source,Document,Risk_Level
120,Clop idogrel and Aspirin Tablets IP (AclizacAS 75),2411039,Nov-24,Oct-26,"M/s Sanctus Global Formulations Limited, Khasra No. 587/588,Village: Kunjhal, Backside Jharmajri Tehsil",The sample does not conform to the IP with respect to Assay of Aspirin & Free Salicylic Acid,"DTL,Jaipur (State Lab)",,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,Medium
121,Cefi xime &Ofloxacin Tablets (CEFXEN-O),VT240794,Jul-24,Jun-26,"M/s VADSP Pharmaceuticals, Plot no.124,E.P.I.P. Ind.Area, Phase- 1,Jharmajri,Baddi(H.P.)1741 03",The sample does not conform to the claim with respect to assay of Cefixime.,"DTL,Jaipur (State Lab)",,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,Medium
122,Isox suprine Hydrochloride (SR)Tablets(Siox-Sr),GT400966A,Oct-24,Sep-26,"M/s Gnosis Pharmaceuticals Pvt.Ltd.Nahan Road,Village Moginand,Kala-Amb Distt.Sirmour,H.P.173030.",The sample does not conform to the claim with respect to Assay of Isoxsuprine Hydrochloride.,"DTL,Jaipur(State Lab)",,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,Medium
123,Sulp hamethoxazole &Trimethoprim Injection I.P.,EL-240608,Jun-24,May-26,"M/s Ethicare Laboratories,15,Industrial Estate,Digiana,Jammu- 180010.","The sample does not conform to the IP (Vet.) with respect to Particulate Matter, Description as it show physical in stability in the form of white crystalline particles and Assay of Trimethoprim.","DTL,Jaipur(State Lab)",,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,Medium
124,Rab eprazole Sodium (Enteric Coated) & Domperidone (Sustained Releases) Capsules (Rzol-D),SSC23187,Jan-24,Dec-25,"M/s Shri Sai Bala Ji Pharmatech Pvt.Ltd.,20, Ext HPSIDC,Ind Area Baddi (H.P.)173205.",The sample does not conform to the claim with respect to Assay of Rabeprazole Sodium.,"DTL,Bikaner (State Lab)",,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,Medium
125,Gab apentin & Nortriptyline Hydrochloride Tablets (GABVONT400),HT24642,Dec-24,Nov-26,"M/s HBC Healthcare Pvt.Ltd.,Block/Survey No.609, Paiki 002, Ambasan (Amipura), Nr. Shankus Water Park, Ahmedabad- Mehsana Highway, Mehsana-384435, Gujarat,",The sample does not confirm to the claim with respect to Assay of Nortriptyline.,"DTL,Jaipur (State Lab)",,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,Medium
126,Dox ycycline and Lactic Acid BacillusTablets(DOXYG LO-LB),ATG4G566,Jul-24,Jun-26,"M/s Anrose Pharma, 147, Mauza Sansiwala, Post:Barotiwala,Tehsil- Baddi,Distt.Solan174103 (HP)",The sample does not conform to the claim with respect to Assay of Doxycycline Hydrochloride IP,"DTL,Jaipur (State Lab)",,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,Medium
127,Diclo fenac Sodium Tablets I.P.(Dicloax Plus),CDTP-265,Sep-24,Aug-26,"M/s Candor Biotech Ltd.,Village Alamgir ,Lalru- 140501(Punjab)",The sample does not conform to the IP with respect Assay of Diclofenac Sodium (NIL) and Found Aceclofenac (57.41 mg/Tab.),"DTL,Jaipur (State Lab)",,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,Medium
128,Amo xycillin Capsules IP 500mg (Moxgo-500),MOXG- 2404001,Jul-24,Jun-26,"M/s RMIS Pharmaceuticals, Plot No.75, Navjeevan Dhamtari Road, Raipur ,Chhatisgarh-492002.",The sample does not conform to the IP as it does not contain Amoxycillin ( NIL).,"DTL, Jaipur (State Lab)",,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,Medium
1,Nimesulide & Paracetamol Bolus (Vet.) (Nip-UP Bolus),NPB-23221,Feb-24,Jan-26,"M/s. Akme Biotec, Plot No. 24, Sector-5, I.I.E., Sidcul, Haridwar (U.K.)",Disintegration Test,Karnataka,,,NSQ,CDSCO,stnsqapr25.pdf,Medium
2,WORMKILL-PLUS (Albendazole & Ivermectin Oral Suspension),SRVL-24003,Jun-24,May-26,"M/s. SPAS Remedies, Vill- Bersan, P.O-Lodhi Majra, Tehsil- Baddi Distt. Solan (H.P) 173205",Assay for Albendazole and Ivermectin,Karnataka,,,NSQ,CDSCO,stnsqapr25.pdf,Medium
3,Paracetamol Tablets IP 650 mg,PCT24034,Feb-24,Jan-26,"M/s. Vivek Pharmachem (India) Ltd., NH-8, Chimanpura, Amer, Jaipur-303102",Test for Dissolution” and “Description,Karnataka,,,NSQ,CDSCO,stnsqapr25.pdf,Medium
4,Glimepiride 1 mg & Metformin HCl 500mg (Sustained Release) Tablets IP,SPT40298,Sep-24,Aug-26,"M/s. Surge Pharmaceuticals Pvt. Ltd., Plot No. C-78 & 79, Additional M.I.D.C., Jejuri- 412303, Taluka Purandhar District, Pune, Maharashtra, India",Test for Dissolution” and “Assay for Glimeperide,Karnataka,,,NSQ,CDSCO,stnsqapr25.pdf,Medium
5,Spoorthi Aloegramflour Soap,6,Jun-24,May-27,"M/s. Spoorthi Herbals No.:299, SH1 Kalakupi, Airport Road, Belagavi, Karnataka-591121",Test for Matter insoluble in Alcohol only,Karnataka,,,NSQ,CDSCO,stnsqapr25.pdf,Medium
6,Acremox-500 (Amoxycillin Trihydrate & Lactic Acid Bacillus Capsules),ABC24002,Apr-24,Mar-26,"M/s. Alexa Pharmaceuticals, Plot. No. 20, Ext, HPSIDC, Ind, Area, Baddi, Distt. Solan (H.P) 173205",Assay for Amoxycillin,Karnataka,,,NSQ,CDSCO,stnsqapr25.pdf,Medium
7,Ketoconazole Tablets I.P. 200mg,GT301737,Mar-24,Feb-26,"M/s. Gnosis Pharmaceuticals Pvt. Ltd., Nahan Road, Village Moginand, Kala-Amb, Distt. Sirmour (H.P)-173030",Description only,Karnataka,,,NSQ,CDSCO,stnsqapr25.pdf,Medium
8,Compound Sodium Lactate Injection I.P (Ringer Lactate Solution for injection I.P) (RL),4D40168,Oct-24,Sep-27,"M/s. IHL Lifesciences Pvt. Ltd., At village: Panwa, Tehsil: Kasrawad, Dist: Khargone 451228 (M.P) India",Test for Sterility,Karnataka,,,NSQ,CDSCO,stnsqapr25.pdf,Medium
9,Amitriptyline HCl & Chlordiazepoxide Tablets USP (AMTOPIC-PLUS),N2402062,Feb-24,Jan-26,"M/s. Talent Healthcare, 66-67, Sector-6A, Sidcul, Iie, Haridwar- 249403 (Uttarakhand)",Assay for Amitriptyline only,Karnataka,,,NSQ,CDSCO,stnsqapr25.pdf,Medium
10,Sodium Chloride Injection IP (0.9% W/v) NS,4HB01401,May-24,Apr-27,"M/s. Aishwarya Lifesciences, plot no 11, Ind. Area VPO-Lodhimajra, Baddi, Distt-Solan (H.P)-174101 (India)",Test for Sterility,Karnataka,,,NSQ,CDSCO,stnsqapr25.pdf,Medium
11,Ofloxacin & Ornidazole Tablets IP (200 mg +500 mg) (Floxo OZ),TAH-231704,Sep-23,Aug-25,"M/s. Prochem Pharmaceuticals Pvt. Ltd., 140-141, Makkanpur, Bhagawanpur, Roorkee, Dist. Haridwar (UK)-247661",Description,Karnataka,,,NSQ,CDSCO,stnsqapr25.pdf,Medium
12,Infusion Set (BMD),BIV-020,Aug-24,Jul-27,"M/s. Bhgwati Medicare Devices, 8, Maruti Industrial Estste, Nr. Sindhvai Mata Temple, C.T.M- Ramol Road, Amraiwadi, Ahmedabad-380026. Gujarat (India)",Test for Sterility,Karnataka,,,NSQ,CDSCO,stnsqapr25.pdf,Medium
13,"Albendazole Tablet IP 400 mg,",T24/007A,Dec-24,Nov-26,"M/s. Samkem 15-B & 10-B, A.K.V.N Industrial Area, Rangwasa, Rao, Indore - 453331, Madhya Predesh.",Dissolution does not comply as per IP.,"State Lab, Drugs Control Laboratory, Telangana.",,,NSQ,CDSCO,stnsqapr25.pdf,Medium
14,"Albendazole Tablet IP 400 mg,",T24/020A,Dec-24,Nov-26,"M/s. Samkem 15-B & 10-B, A.K.V.N Industrial Area, Rangwasa, Rao, Indore - 453331, Madhya Predesh.",Dissolution does not comply as per IP.,"State Lab, Drugs Control Laboratory, Telangana.",,,NSQ,CDSCO,stnsqapr25.pdf,Medium
15,"Albendazole Tablet IP 400 mg,",T24/016A,Dec-24,Nov-26,"M/s. Samkem 15-B & 10-B, A.K.V.N Industrial Area, Rangwasa, Rao, Indore - 453331, Madhya Predesh.",Dissolution does not comply as per IP.,"State Lab, Drugs Control Laboratory, Telangana.",,,NSQ,CDSCO,stnsqapr25.pdf,Medium
16,Albendazole Tablets IP 400 mg,T24/011A,Dec-24,Nov-26,"M/s. Samkem 15-B & 10- B,A.K.V.N.Industrial Area, Rangwasa, Rao,Indore- 453331.(M.P.)(WHO-GMP & GLP Certifled Company) (AN ISO 9001:2015 Certifled Company) MADHYA PRADESH",Sample Does not comply in respect of Dissolution Test as per IP.,"State Lab, Drugs Control Laboratory, Telangana.",,,NSQ,CDSCO,stnsqapr25.pdf,Medium
17,"Albendazole Tablet IP 400 mg,",T24/015A,Dec-24,Nov-25,"M/s. Samkem15-B & 10-B, A.K.V.N. INDUSTRIAL AREA, RANGWASA RAO, INDORE – 453 331 (M.P.) MADHYA PRADESH",Dissolution does not comply as per IP.,"State Lab, Drugs Control Laboratory, Telangana.",,,NSQ,CDSCO,stnsqapr25.pdf,Medium
18,Albendazole Tablets IP 400 mg,T24/018A,Dec-24,Nov-26,"M/s. Samkem15-B & 10-B, A.K.V.N. INDUSTRIAL AREA, RANGWASA RAO, INDORE – 453 331 (M.P.) MADHYA PRADESH",Dissolution dose not complies as per IP.,"State Lab, Drugs Control Laboratory, Telangana.",,,NSQ,CDSCO,stnsqapr25.pdf,Medium
19,"Albendazole Tablet IP 400 mg,",C25F944019,Jun-24,May-26,"M/s. Concept Pharmaceuticals Ltdm Khasra No. 104, Asaf",Dissolution dose not complies as per IP.,"State Lab, Drugs Control",,,NSQ,CDSCO,stnsqapr25.pdf,Medium
20,"Albendazole Tablet IP 400 mg,",C25F944019,Jun-24,May-26,"M/s. Concept Pharmaceuticals Ltdm Khasra No. 104, Asaf Nagar, Roorkee - 247 667. Uttarakhand.",Dissolution dose not complies as per IP.,"State Lab, Drugs Control Laboratory, Telangana.",,,NSQ,CDSCO,stnsqapr25.pdf,Medium
21,"Emiral OD Tablets, Ondansetron orally disintegrating Tablets IP",HT24565,Jul-24,Jun-26,"M/s Habitare Pharma Pvt Ltd Plot no. 43-44, Industrial Estate, HSIIDC, Alipur, Barwala, Distt- Panchakula (HR) - 134118 HARYANA",Disintegration dose not complies as per IP.,"State Lab, Drugs Control Laboratory, Telangana.",,,NSQ,CDSCO,stnsqapr25.pdf,Medium
22,Ambroxol Hydrochloride Syrup 30 mg/5 ml,724559,Dec-24,Nov-26,"M/s.Syndicate Pharma 185/B, 185/B-1, 187/A & 188, Sector-F, Sanwer Road, Indore-452015 Madhya Pradesh","Misbranded The drug failed to indicate the common name of the colour, used in the drug, on the product label, as required under Rule 127(2) of the Drugs Rules, 1945. The label merely states Approved Colour Used. Hence, the drug is deemed to be Misbranded under Section 17 of the Drugs and Cosmetics Act, 1940, as it is not labeled in the prescribed manner.","S t a t e L a b , Drugs Control Laboratory, Telangana.",,,NSQ,CDSCO,stnsqapr25.pdf,Medium
23,"Lulimark Creams, Luliconazole Cream 1%",92447,Sep-24,Aug-26,"M/s. Forever LifeScience Pvt.Ltd. 74/D, Sopan Kesar Industrial Hub, Moraiya, Dist. Ahmedabad - 382213 GUJARAT","Misbranded The drug Product Luliconazole Cream is official, i.e., it is included in the current edition of the Indian Pharamacopoeia (IP- 2022). As required under the Second Schedule of the Drugs and Cosmetics Act, 1940, the said drug Product shall mandatorily comply with the standards set out in the Indian Pharmacopoeia.","S t a t e L a b , Drugs Control Laboratory, Telangana.",,,NSQ,CDSCO,stnsqapr25.pdf,Medium
24,Ambroxol Hydrochloride Syrup,724543,Nov-24,Oct-26,"M/s By: Syndicate Pharma 185/B, 185/B-1, 187/A & 188, Sector-F, Sanwer Road, Indore - 452015 MADHYA PRADESH","Misbranded The drug failed to indicate the common name of the colour, used in the drug, on the product label, as required under Rule 127(2) of the Drugs Rules, 1945. The label merely states Approved Colour Used. Hence, the drug is deemed to be Misbranded under Section 17 of the Drugs and Cosmetics Act, 1940, as it is not labeled in the prescribed manner.","S t a t e L a b , Drugs Control Laboratory, Telangana.",,,NSQ,CDSCO,stnsqapr25.pdf,Medium
25,Winocin 500 (Paracetamol tablets IP 500 mg),JT-2405719,May-24,Oct-26,"M/s.Jineka Healthcare Pvt. Ltd, Plot No. 15, Sector- 6B, IIE, Ranipur, Haridwar (UK) 249403","The sample does not conform to standard quality in respect of the test for ""Dissolution"" performed.","State Drugs Testing Laboratory, Agartala, Tripura.",,,NSQ,CDSCO,stnsqapr25.pdf,Medium
26,Fevimed (Paracetamol tablets IP 500 mg),T-23204,Sep-23,Aug-25,"M/s.Kshipra Drugs Pvt. Ltd. 40- 41/22B, Industrial Area No. 1, Dewas (MP) 455001.","The sample does not conform to standard quality in respect of the test for ""Dissolution"" performed.","State Drugs Testing Laboratory, Agartala, Tripura.",,,NSQ,CDSCO,stnsqapr25.pdf,Medium
27,Sucrapolis-O Suspension,CSDL24368,Oct-24,Sep-26,"M/s.CSD Lifesciences, Village:Malkumajra, Morepen",sample does not conform to label claim,"Drugs Testing Laboratory, Chennai - 6",,,NSQ,CDSCO,stnsqapr25.pdf,Medium
28,Gentamicin Injection I.P- 2ml,24BUH83,Aug-24,Jul-26,"M/s.SVP Life Sciences, C/10-1, Sara Industrial Estate, Selequi, Dehradun.",Sample does not conform to the requirement for pH.,"King Institute of Preventive Medicine & Research, Guindy, Chennai-32",,,NSQ,CDSCO,stnsqapr25.pdf,Medium
29,Gentamicin Injection I.P- 2ml,YGN4102,Jul-24,Jun-26,"M/s.Yeluri formulations Pvt Ltd, Sy.296/7/6, I.D.A Bollaram, Samgareddy, District-502 325. Telangana-India.",Sample does not conform to the requirement for pH.,"King Institute of Preventive Medicine & Research, Guindy, Chennai-32",,,NSQ,CDSCO,stnsqapr25.pdf,Medium
30,Cefixime Tablets IP 400 mg,HTB404G,Jul-24,Jun-26,"M/s.Himalaya Meditek Pvt Ltd, Plot No.35&36 Pharmacity, Selaqui Industrial Area, Dehradun - 248 197",Sample does not conform to IP Specification for Cefixime Tablets with respect to the content of Anhydrous Cefixime in Cefixime Trihydrate.,"Drugs Testing Laboratory, Madurai-19",,,NSQ,CDSCO,stnsqapr25.pdf,Medium
31,L-Histact-M Tablets,24DT122A,Jun-26,May-27,"M/s.Kashmik Formuation Pvt Ltd, PF-13, Opp procter & Gamble, Bol GIDC-2, Sanand, Ahmedabad - 382 170, Gurarat, India",Sample does not conform to IP Specification for Levocetrizine Hydrocloride and Montelukast Tablets with respect to the contect of Levocetrizine Hydrochloride and Montelukast in Montelukast in Montelukast sodium.,"Drugs Testing Laboratory, Madurai-19",,,NSQ,CDSCO,stnsqapr25.pdf,Medium
32,Kelan Soap(Ketoconazole Meidcated Soap),8091,Oct-26,Sep-26,"M/s.Vimson Derma, 816/3, Kothari Estate, Santej-382 721 (Gujarat)",sample does not conform to label claim with respect to the content of Ketoconazole,"Drugs Testing Laboratory, Madurai-19",,,NSQ,CDSCO,stnsqapr25.pdf,Medium
33,Cefixime & Potassium Clavulanate Tablets (Alfix-CV),CT24117D,Aug-24,Jan-26,"M/s.Curehealth Pharmaceticals Pvt Ltd, Vill Ranupur, P.O Deothi , Tehsil & District Solan (HP) 173211",Sample does not conform to label claim with respect to the content of Clavulanic Acid in Potassium Clavulanate.,"Drugs Testing Laboratory, Madurai-19",,,NSQ,CDSCO,stnsqapr25.pdf,Medium
34,Lelet-M Syrup (Montelukast Sodium and levocetirizine hydrochloride syrup),LLMS-063,Apr-24,Mar-26,"M/s.IOSIS Remedies pvt ltd, Rajpura road, village-khera nihla, Tehsil-Nalagarh, District-solan. Himachal Pradesh - 174 101 India",sample does not conform to label claim with respect to content of Montelukast in Montelukast sodium,"Drugs Testing Laboratory, Madurai-19",,,NSQ,CDSCO,stnsqapr25.pdf,Medium
35,Amoxycillin and potassium clavulanate tablets IP (AUGMONT CV 625 DUP Co- amoxiclav),BT408244A,Aug-24,Apr-26,"M/s.Nikvin Healthcare (I) Pvt Ltd, Baddi-Barotiwala Road, Behind Govt, Toimber Depot Vill, Katha. Baddi(HP)-173 205",Sample does not conform to IP specification for amoxycillin and potassium clavulanate tablets with respect to the content of Clavulanic acid in potassium clavulanate.,"Drugs Testing Laboratory, Madurai-19",,,NSQ,CDSCO,stnsqapr25.pdf,Medium
36,Amoxycillin and potassium clavulanate tablets IP 625 mg,BT240491,May-24,Apr-26,"M/s.Hindustan Antibiotics Ltd, at: Village Saini Majra, Tehsil Nalagarh Dist. Solan (HP) - 174 101",Sample does not conform to IP specification for amoxycillin and potassium clavulanate tablets with respect to the content of Clavulanic acid in potassium clavulanate.,"Drugs Testing Laboratory, Madurai-19",,,NSQ,CDSCO,stnsqapr25.pdf,Medium
37,Lidocaine Hydrochloride and Gabapentin Gel (Gabaneuron Gel),PWBBO7,Jun-24,Nov-25,"M/s.Pure & Cure Healthcare Pvt Ltd,(A Subsidiary of Akums Drugs & Pharmaceuticals Ltd) Plot No. 26A, 27-30,Sectir-8A, I.I.E, SIDCUL, Raniput, Haridwar-249 403, Uttarakhand",Sample does not conform to lebel claim with respect to the content of Gabapentin,"Drugs Testing Laboratory, Madurai-19",,,NSQ,CDSCO,stnsqapr25.pdf,Medium
38,Petben (Benzoyl peroxide shampoo 2.5%),678585,Mar-24,Feb-26,"M/s.Hidustan Antibitics Ltd, at Village Saini Majra, Tehsil Nalagarh Dist. Solan (HP) - 174 101",Sample does not conform to lebel claim with respect to description of shampoo,"Drugs Testing Laboratory, Madurai-19",,,NSQ,CDSCO,stnsqapr25.pdf,Medium
39,Omeprazole Capsules IP 20mg,HCN423F,Jun-24,May-26,"M/s.Himalaya Meditek Pvt Ltd, Plot No.35&36 Pharmacity, Selaqui Industrial Area, Dehradun - 248 197",Sample does not conform to IP specification with respect to Uniformity of weight,"Drugs Testing Laboratory, Madurai-19",,,NSQ,CDSCO,stnsqapr25.pdf,Medium
40,"Clotrimazole and Selenium Sulfide Suspension, candid tv",46230305,Dec-23,Nov-25,"M/s.Glenmark Pharmaceuticals Ltd, At, Plot No. 38939 Sector-II, I.I.E, Sidcul, Haridwar, Uttarakhand-249 403.",Sample does not conform to label claim with respect to identification and the content of clotrimazole (Deemed to be spurious),"Drugs Testing Laboratory, Madurai-19",,,NSQ,CDSCO,stnsqapr25.pdf,Medium
41,Bisacodyl Tablets Ip 5mg,TA24366,Jun-42,Apr-26,"M/s. Saintlife Pharmaceuticals Ltd, 323, Central Hope Town, Industrial Area, Selaqui, Dehradun-248011, Uttarakhand.",Sample does not conform to IP specification for Bisacodyl Tablets with respect to Dissolution,"Drugs Testing Laboratory, Chennai-06",,,NSQ,CDSCO,stnsqapr25.pdf,Medium
42,Amoxycillin & Potassium Calvulanate Tablets,BT406210A,Jun-24,May-26,"M/s.Nikvin Healthcare (I) Pvt Ltd, Baddi-Barotiwala Road, Behind Govt, Toimber Depot Vill, Katha. Baddi(HP)-173 205",Sample does not conform to IP specification for Amoxycillin and Potassium Clavulanate Tablets with respect to Dissolution for Clavulanic Acid and to the content of Clavulanic Acid in Potassium Clavulanate Diluted,"Drugs Testing Laboratory, Chennai-06",,,NSQ,CDSCO,stnsqapr25.pdf,Medium
43,Nitrobi-CR 2.6(Nitroglycerin Controlled Release Tablets 2.6mg),JT-2312229,Dec-23,Nov-25,"M/s.Jeneka Healthcaere Pvt Ltd, Khasra No.507-525, Bedpur Crossing Bhagwanpur By Pass, Roorkee, Distt, Haridwar, Uttarakhand.",Sample does not conform to Label Claim with respect to the content of Nitroglycerine in Diluted,"Drugs Testing Laboratory, Madurai-19",,,NSQ,CDSCO,stnsqapr25.pdf,Medium
44,Bisacodyl Tablets IP 5mg,TA24688,Aug-24,Jul-26,"M/s.Saintlife Pharmaceuticals Ltd, 323, Central Hope Town, Industrial Area, Selaqui, Dehradun-248011, Uttarakhand.",Sample does not conform to IP specification for Bisacodyl Tablets with respect to Dissolution (Acid medium and Buffer medium),"Drugs Testing Laboratory, Chennai-06",,,NSQ,CDSCO,stnsqapr25.pdf,Medium
45,Moxivin-CV 625 (Amoxycillin and Potassium Calvulnate Tablets IP),VMIT2404,Oct-24,Sep-26,"M/s.Vertex Pharma Chemicals, Plot No.60-A,61-A, PIPDIC Electronic Park, Thirubhuvanai, Puducherry-605107","The Sample does not conform to IP specification for Amoxycillin and Potassium Clavulanate Tablets with respect to Identification of Potassium Clavulanate, Uniformity of weight and content of Amoxycillin in Amoxycillin Trihydrate and Clavulanic Acid in Potassium Clavulanate (Deemed to be spurious).","Drugs Testing Laboratory, Madurai-19",,,NSQ,CDSCO,stnsqapr25.pdf,Medium
46,Burmoxicla+V(Amoxycill in & Potassium Clavulanate Oral Suspension IP),ABD-187C,Jun-24,Nov-25,"M/s.Azot Life Sciences, Vill.Chewa, P.O, Kumarhatti, Distt. Solan - 173229(H.P)",Sample does not conform to IP specification for Amoxycillin and Potassium Clavulanate oral suspension with respect to the content of,"Drugs Testing Laboratory, Madurai-19",,,NSQ,CDSCO,stnsqapr25.pdf,Medium
47,Z&D Syrup (Zinc Gluconate Oral Solution 20mg),XSZE24005,Aug-24,Jan-26,"M/s.Hema Laboratories Pvt Ltd, Plot No.29, Pharma City, Selaqui Industrial, Area, Dehradun - 248011, Uttarakhand.",Sample does not conform to Label Claim with respect to content of Elemental Zinc in Zinc Gluconate,"Drugs Testing Laboratory, Madurai-19",,,NSQ,CDSCO,stnsqapr25.pdf,Medium
48,"Softuss-D (Dextromethorphan Hydrobromide, Phenylephrine Hydrochloride & Chlorpheniramine Maleate Syrup)",DL2501013B,Jan-25,Dec-26,"M/s.Indorama Health Care Pvt Ltd, 204-205, HSIIDC, Manakpur, Industrial Area, Jagadhri, Distt, Yamuna Nagar (Haryana), 135003",Sample does not conform to IP specification for label claim with respect to the content of Phenylephrine Hydrochloride,"Drugs Testing Laboratory, Chennai-06",,,NSQ,CDSCO,stnsqapr25.pdf,Medium
49,Chlorpheniramine Maleate IP & Noscapine IP Oral Syrup (Coscopin Linctus),VTL4006,Mar-24,Feb-26,"M/s.Biological E Limited, Plot 47B/2, Street No.04, Phase-1, IDA Cherlapally Village, Kapra Mandal, Medchal-Malkajgiri District-500052, Telangana State, India.",Sample does not conform to Label claim with respect to the content of Noscapine,"Drugs Testing Laboratory, Madurai-19",,,NSQ,CDSCO,stnsqapr25.pdf,Medium
50,Betamethasone Valerate Ointment IP 0.1% w/w,B75,Aug-24,Jul-26,"M/s.Syndicate Pharma, 185/B, 185/B-1, 187/A & 188 Sector - F, Sanwer Road, Indore-452015.",Sample does not conform to IP specification for Betamethasone Valerate Ointment with respect to the content of Betamethasone in Betamethasone Valerate,"Drugs Testing Laboratory, Madurai-19",,,NSQ,CDSCO,stnsqapr25.pdf,Medium
51,Betamethasone Valerate Cream IP,E4062,Feb-24,Jan-26,"M/s.Rhydburg Pharmaceuticals Ltd, C2&3, S.I.E.L, Selaqui, Dehradun, Uttarakhand (India)",Sample does not conform to IP specification for Betamethasone Valerate Cream with respect to the content of Betamethasone in Betamethasone Valerate.,"Drugs Testing Laboratory, Madurai-19",,,NSQ,CDSCO,stnsqapr25.pdf,Medium
52,Synclov-625 Tablets (Amoxycillin & Potassium Clavulanate Tablets IP),MICTAB-2120,Jan-25,Jun-26,"M/s.Micro Formulations, Chambaghat, New Railway Crossing, Distt, solan (HP),173211",Sample does not conform to IP specification for Amoxycillin and Potassium Clavulanate Tablets with respect to Dissolution for Clavulanic Acid and to,"Drugs Testing Laboratory, Chennai-06",,,NSQ,CDSCO,stnsqapr25.pdf,Medium
53,Frusemide Injection IP- 2ml,24BTC63,Mar-24,Feb-26,"M/s.SVP Life Sciences, C/10-1, Sara Industrial Estate, Selequi, Dehradun.",Sample does not conform to requirement for sterility,"King Institute of Preventive Medicine & Research, Guindy, Chennai-32",,,NSQ,CDSCO,stnsqapr25.pdf,Medium
54,Progaba Gel (Lidocaine Hydrochloride & Gabapentin Gel),PSWAB66,Jun-24,Nov-25,"M/s.Pure & Cure Healthcare Pvt Ltd,(A Subsidiary of Akums Drugs & Pharmaceuticals Ltd) Plot No. 26A, 27-30,Sector-8A, I.I.E, SIDCUL, Haridwar-249 403, Uttarakhand",Sample does not conform to Label claim with respect to the content of Gabapentin,"Drugs Testing Laboratory, Madurai-19",,,NSQ,CDSCO,stnsqapr25.pdf,Medium
55,Povigin (Povidone Iodine Ointment USP 5%w/w),PZ-2414,Sep-24,Aug-26,"M/s. GP Glister Pharmaceutical, B-17, AKVN Industrial Area, Rangawasa, RAU, 453331",Sample does not conform to USP specification for Povidone- Iodine Ointment with respect to the content of Available Iodine in Povidone- Iodine,"Drugs Testing Laboratory, Chennai-06",,,NSQ,CDSCO,stnsqapr25.pdf,Medium
56,Pantozor Tablets (Pantoprazole Sodium Tablets IP),UTBO25A,Feb-25,Jan-27,"M/s.Haustus Biotech Pvt Ltd, 44- 45, Indl. Area, Tahliwal, Distt, Una (H.P)",Sample does not conform to IP specification for Pantoprazole Tablets with respect to Dissolution in Buffer stage,"Drugs Testing Laboratory, Chennai-06",,,NSQ,CDSCO,stnsqapr25.pdf,Medium
57,Frusemide Tablets IP 40mg,TA24283,Jul-24,Jun-26,"M/s.Saintlife Pharmaceuticals Ltd, 323, Central Hope Town, Industrial Area, Selaqui, Dehradun-248011, Uttarakhand, India.",Sample does not conform to IP specification for Frusemide Tablets with respect to Dissolution,"Drugs Testing Laboratory, Chennai-06",,,NSQ,CDSCO,stnsqapr25.pdf,Medium
58,Atorvastatin Tablets IP 10mg,CT240246A,Jul-24,Jun-26,"M/s.Candour Pharmaceuticals, Vill. OGLI, Suketi Road, Kala Amb, Distt. Sirmour (H.P), 173030",Sample does not conform to IP specification for Atorvastatin Calcium Tablets with respect to Dissolution,"Drugs Testing Laboratory, Chennai-06",,,NSQ,CDSCO,stnsqapr25.pdf,Medium
59,Diclofenac Sodium Tablets IP,THB24028AL,Jul-24,Jun-26,"M/s. Hindustan Laboratories Limited, Plot No. 5-9, Survey No.382, Aliyali, Palghar (W), Dist. Palghat 401404 (M.S)",Sample does not conform to IP specification for Enteric Coated Tablets with respect to Disintegration,"Drugs Testing Laboratory, Chennai-06",,,NSQ,CDSCO,stnsqapr25.pdf,Medium
60,Atorvastatin Tablets IP 10mg,AT24045,Aug-24,Jan-26,"M/s. Eurokem Laboratories Pvt ltd, C-25, SIDCO Pharmaceutical Complex, Alathur, Thiruporur, 603110.",Sample does not conform to IP specification for Atorvastatin Calcium Tablets with respect to Dissolution,"Drugs Testing Laboratory, Chennai-06.",,,NSQ,CDSCO,stnsqapr25.pdf,Medium
61,Glypro 1 (Glimepiride Tablets IP) 1mg,FGYO-1626,Dec-24,Nov-26,"M/s.Firstmed Therapeutics Pvt Ltd, R.S.No.31/1, Pondy- Tindivanam Main Road, Auroville (PO), Thiruchitrambalam, Tamilnadu-605101",Sample does not conform to IP specification for Glimepiride Tablets with respect to the content of Glimepiride,"Drugs Testing Laboratory, Madurai-19",,,NSQ,CDSCO,stnsqapr25.pdf,Medium
62,Merocet (Cetirizine Hydrochloride Syrup),1124192,Nov-24,Oct-26,"M/s.Kite Formulation, No.67/1, 1st & 2st floor, 4th street, Thirunagar, Karumandapam, Trichy-620001",Sample does not conform to IP specification with respect to the PH.,"Drugs Testing Laboratory, Madurai-19",,,NSQ,CDSCO,stnsqapr25.pdf,Medium
