S.No,Product/Drug Name,Batch No.,Manufacturing Date,Expiry Date,Manufactured By,NSQ Result,Reported by CDSCO Laboratory,Status,Source,Document,Manufact uring Date,S.No.,Name of Drugs/medical device/cosmetics,Unnamed_2,Unnamed_3,Date of Manufacture,Date of Expiry,Reason for failure,Drawn By,Firm’s reply,Remarks,Manufactu ring Date,Reported by State Laboratory,S. No.,Date of Manufa - cture,Manufactured by,Firm’s Reply,Manufacturi ng Date
109.,Mefe namic Acid and Paracetamol Suspension (Sarmef- PDS),SBL-1021,,Sep-26,"M/s. Sarthak Biotech Pvt. Ltd., 198-A, Sector-3, HSIIDC, Karnal-132001 (Hr.)",Volume,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,Oct-24,"State Drugs Laboratory, Punjab",,,,,
110.,Ator vastatin Tablets IP 10mg (Atosar-10),SBT-813,,Feb-26,"M/s. Sarthak Biotech Pvt. Ltd., 198-A, Sector-3, HSIIDC, Karnal-132001 (Hr.)",Description,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,Mar-24,"State Drugs Laboratory, Punjab",,,,,
111.,Gab apentin Capsules IP 300mg. (GABATEC- 300),SG2412559,,Nov-26,"M/s. Scout Lifescience Pvt. Ltd., Plot No. 353, Sector-2 Industrial Growth Centre, HSIIDC, Saha, Ambala, Haryana, India-133104",Uniformity of Weight,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,Dec-24,"State Drugs Laboratory, Punjab",,,,,
112.,Ace clofenac Paracetamol &,PBT-2024101,,Apr-26,"M/s. Presun Biotech, Kandwal Lodhwan Road,",The contents of Serratiopeptidase found,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,May-24,"State Drugs Laboratory, Punjab",,,,,
,Serratiopeptidase Tablets. (Aceclofen-SP),,,,"The. Nurpur., Kangra-176201 (HP)",to be 8.06mg per tablet (80.6%) against labeled claim of 10.0mg per tablet.,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,,,,,,,
113.,Olan zapine Tablets I.P.5mg. (Olanzapine Tablets IP 5mg),N2503121,,Feb-28,"M/s. Talent Healthcare, 66- 67, Sector-6A, SIDCUL, IIE Haridwar-249403 (Uttarakhand)",Description,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,Mar-25,"State Drugs Laboratory, Punjab",,,,,
114.,Olan zapine Tablet I.P. (Etimok),ATD-B24020,,Jan-26,"M/s. Alzan Pharmaceuticals Pvt, Ltd., Nai Wala Road, Bnl-148101.",Uniformity of content,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,Feb-24,"State Drugs Laboratory, Punjab",,,,,
115.,Pov idone Iodine Gargle 2% (ZEVODINE),623-864,,Oct-25,"M/s Zee Laboratories Ltd., Behind 47, Industrial Area, Paonta Sahib-173025",Test For Assay (Content) of Povidone- Iodine Equivalent To Available-Iodine,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,Nov-23,Government of NCT of Delhi,,,,,
116.,Rab eprazole Sodium Enteric Coated & Domperidone Sustained Release Capsules (Kylid-RD),NHD24207C,,Apr-26,"M/s. Nest Healthcare Pvt Ltd., Plot No. 300, G.I.D.C Odhav, Ahmedabad- 382415(Gujarat)",The sample does not conform to the claim with respect to Assay of Rabeprazole Sodium.,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,May-24,"DTL, Jaipur (State Lab)",,,,,
117.,Rab eprazole Sodium Gastro- resistant & Domperidone (SR) Capsules (Rebtil-DSR),LV23LC-017,,Oct-25,"M/s L.V. Life Sciences, VPO Gurumajra, Baddi, Distt.Solan (HP) 174101.",The sample does not conform to the claim with respect to Assay of Rabeprazole Sodium.,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,Nov-23,"DTL,Bikaner (State Lab)",,,,,
118.,Albe ndazole Oral Suspension IP (Vet.),SLG24095,,Feb-26,"M/s Safecon Lifesciences Pvt. Ltd., B 36,E.P.I.P.Shastri Puram,UPSIDC,Sikandra- 282007.",The sample does not conform to the IP with respect to Assay of Albendazole.,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,Mar-24,"DTL,Jaipur (State Lab)",,,,,
119.,Para cetamol Tablets IP 650mg,PCT24034,,Jan-26,"M/s Vivek Pharmachem (India) Ltd.,NH- 8,Chimanpura,Amer,Jaipur- 303102.","The sample has been declared as not of Standard Quality as it does not conform to IP standards with respect to ""Test for Dissolution"" and Description.",,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,Feb-24,Karnataka,,,,,
120.,Clop idogrel and Aspirin Tablets IP (AclizacAS 75),2411039,,Oct-26,"M/s Sanctus Global Formulations Limited, Khasra No. 587/588,Village: Kunjhal, Backside Jharmajri Tehsil",The sample does not conform to the IP with respect to Assay of Aspirin & Free Salicylic Acid,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,Nov-24,"DTL,Jaipur (State Lab)",,,,,
121.,Cefi xime &Ofloxacin Tablets (CEFXEN-O),VT240794,,Jun-26,"M/s VADSP Pharmaceuticals, Plot no.124,E.P.I.P. Ind.Area, Phase- 1,Jharmajri,Baddi(H.P.)1741 03",The sample does not conform to the claim with respect to assay of Cefixime.,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,Jul-24,"DTL,Jaipur (State Lab)",,,,,
122.,Isox suprine Hydrochloride (SR)Tablets(Siox-Sr),GT400966A,,Sep-26,"M/s Gnosis Pharmaceuticals Pvt.Ltd.Nahan Road,Village Moginand,Kala-Amb Distt.Sirmour,H.P.173030.",The sample does not conform to the claim with respect to Assay of Isoxsuprine Hydrochloride.,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,Oct-24,"DTL,Jaipur(State Lab)",,,,,
123.,Sulp hamethoxazole &Trimethoprim Injection I.P.,EL-240608,,May-26,"M/s Ethicare Laboratories,15,Industrial Estate,Digiana,Jammu- 180010.","The sample does not conform to the IP (Vet.) with respect to Particulate Matter, Description as it show physical in stability in the form of white crystalline particles and Assay of Trimethoprim.",,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,Jun-24,"DTL,Jaipur(State Lab)",,,,,
124.,Rab eprazole Sodium (Enteric Coated) & Domperidone (Sustained Releases) Capsules (Rzol-D),SSC23187,,Dec-25,"M/s Shri Sai Bala Ji Pharmatech Pvt.Ltd.,20, Ext HPSIDC,Ind Area Baddi (H.P.)173205.",The sample does not conform to the claim with respect to Assay of Rabeprazole Sodium.,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,Jan-24,"DTL,Bikaner (State Lab)",,,,,
125.,Gab apentin & Nortriptyline Hydrochloride Tablets (GABVONT400),HT24642,,Nov-26,"M/s HBC Healthcare Pvt.Ltd.,Block/Survey No.609, Paiki 002, Ambasan (Amipura), Nr. Shankus Water Park, Ahmedabad- Mehsana Highway, Mehsana-384435, Gujarat,",The sample does not confirm to the claim with respect to Assay of Nortriptyline.,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,Dec-24,"DTL,Jaipur (State Lab)",,,,,
126.,Dox ycycline and Lactic Acid BacillusTablets(DOXYG LO-LB),ATG4G566,,Jun-26,"M/s Anrose Pharma, 147, Mauza Sansiwala, Post:Barotiwala,Tehsil- Baddi,Distt.Solan174103 (HP)",The sample does not conform to the claim with respect to Assay of Doxycycline Hydrochloride IP,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,Jul-24,"DTL,Jaipur (State Lab)",,,,,
127.,Diclo fenac Sodium Tablets I.P.(Dicloax Plus),CDTP-265,,Aug-26,"M/s Candor Biotech Ltd.,Village Alamgir ,Lalru- 140501(Punjab)",The sample does not conform to the IP with respect Assay of Diclofenac Sodium (NIL) and Found Aceclofenac (57.41 mg/Tab.),,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,Sep-24,"DTL,Jaipur (State Lab)",,,,,
128.,Amo xycillin Capsules IP 500mg (Moxgo-500),MOXG- 2404001,,Jun-26,"M/s RMIS Pharmaceuticals, Plot No.75, Navjeevan Dhamtari Road, Raipur ,Chhatisgarh-492002.",The sample does not conform to the IP as it does not contain Amoxycillin ( NIL).,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,Jul-24,"DTL, Jaipur (State Lab)",,,,,
1.,Nimesulide & Paracetamol Bolus (Vet.) (Nip-UP Bolus),NPB-23221,,Jan-26,"M/s. Akme Biotec, Plot No. 24, Sector-5, I.I.E., Sidcul, Haridwar (U.K.)",Disintegration Test,,NSQ,CDSCO,stnsqapr25.pdf,,,,,,,,,,,,Feb-24,Karnataka,,,,,
2.,WORMKILL-PLUS (Albendazole & Ivermectin Oral Suspension),SRVL-24003,,May-26,"M/s. SPAS Remedies, Vill- Bersan, P.O-Lodhi Majra, Tehsil- Baddi Distt. Solan (H.P) 173205",Assay for Albendazole and Ivermectin,,NSQ,CDSCO,stnsqapr25.pdf,,,,,,,,,,,,Jun-24,Karnataka,,,,,
3.,Paracetamol Tablets IP 650 mg,PCT24034,,Jan-26,"M/s. Vivek Pharmachem (India) Ltd., NH-8, Chimanpura, Amer, Jaipur-303102",Test for Dissolution” and “Description,,NSQ,CDSCO,stnsqapr25.pdf,,,,,,,,,,,,Feb-24,Karnataka,,,,,
4.,Glimepiride 1 mg & Metformin HCl 500mg (Sustained Release) Tablets IP,SPT40298,,Aug-26,"M/s. Surge Pharmaceuticals Pvt. Ltd., Plot No. C-78 & 79, Additional M.I.D.C., Jejuri- 412303, Taluka Purandhar District, Pune, Maharashtra, India",Test for Dissolution” and “Assay for Glimeperide,,NSQ,CDSCO,stnsqapr25.pdf,,,,,,,,,,,,Sep-24,Karnataka,,,,,
5.,Spoorthi Aloegramflour Soap,6,,May-27,"M/s. Spoorthi Herbals No.:299, SH1 Kalakupi, Airport Road, Belagavi, Karnataka-591121",Test for Matter insoluble in Alcohol only,,NSQ,CDSCO,stnsqapr25.pdf,,,,,,,,,,,,Jun-24,Karnataka,,,,,
6.,Acremox-500 (Amoxycillin Trihydrate & Lactic Acid Bacillus Capsules),ABC24002,,Mar-26,"M/s. Alexa Pharmaceuticals, Plot. No. 20, Ext, HPSIDC, Ind, Area, Baddi, Distt. Solan (H.P) 173205",Assay for Amoxycillin,,NSQ,CDSCO,stnsqapr25.pdf,,,,,,,,,,,,Apr-24,Karnataka,,,,,
7.,Ketoconazole Tablets I.P. 200mg,GT301737,,Feb-26,"M/s. Gnosis Pharmaceuticals Pvt. Ltd., Nahan Road, Village Moginand, Kala-Amb, Distt. Sirmour (H.P)-173030",Description only,,NSQ,CDSCO,stnsqapr25.pdf,,,,,,,,,,,,Mar-24,Karnataka,,,,,
8.,Compound Sodium Lactate Injection I.P (Ringer Lactate Solution for injection I.P) (RL),4D40168,,Sep-27,"M/s. IHL Lifesciences Pvt. Ltd., At village: Panwa, Tehsil: Kasrawad, Dist: Khargone 451228 (M.P) India",Test for Sterility,,NSQ,CDSCO,stnsqapr25.pdf,,,,,,,,,,,,Oct-24,Karnataka,,,,,
9.,Amitriptyline HCl & Chlordiazepoxide Tablets USP (AMTOPIC-PLUS),N2402062,,Jan-26,"M/s. Talent Healthcare, 66-67, Sector-6A, Sidcul, Iie, Haridwar- 249403 (Uttarakhand)",Assay for Amitriptyline only,,NSQ,CDSCO,stnsqapr25.pdf,,,,,,,,,,,,Feb-24,Karnataka,,,,,
10.,Sodium Chloride Injection IP (0.9% W/v) NS,4HB01401,,Apr-27,"M/s. Aishwarya Lifesciences, plot no 11, Ind. Area VPO-Lodhimajra, Baddi, Distt-Solan (H.P)-174101 (India)",Test for Sterility,,NSQ,CDSCO,stnsqapr25.pdf,,,,,,,,,,,,May-24,Karnataka,,,,,
11.,Ofloxacin & Ornidazole Tablets IP (200 mg +500 mg) (Floxo OZ),TAH-231704,,Aug-25,"M/s. Prochem Pharmaceuticals Pvt. Ltd., 140-141, Makkanpur, Bhagawanpur, Roorkee, Dist. Haridwar (UK)-247661",Description,,NSQ,CDSCO,stnsqapr25.pdf,,,,,,,,,,,,Sep-23,Karnataka,,,,,
12.,Infusion Set (BMD),BIV-020,,Jul-27,"M/s. Bhgwati Medicare Devices, 8, Maruti Industrial Estste, Nr. Sindhvai Mata Temple, C.T.M- Ramol Road, Amraiwadi, Ahmedabad-380026. Gujarat (India)",Test for Sterility,,NSQ,CDSCO,stnsqapr25.pdf,,,,,,,,,,,,Aug-24,Karnataka,,,,,
13.,"Albendazole Tablet IP 400 mg,",T24/007A,,Nov-26,"M/s. Samkem 15-B & 10-B, A.K.V.N Industrial Area, Rangwasa, Rao, Indore - 453331, Madhya Predesh.",Dissolution does not comply as per IP.,,NSQ,CDSCO,stnsqapr25.pdf,,,,,,,,,,,,Dec-24,"State Lab, Drugs Control Laboratory, Telangana.",,,,,
14.,"Albendazole Tablet IP 400 mg,",T24/020A,,Nov-26,"M/s. Samkem 15-B & 10-B, A.K.V.N Industrial Area, Rangwasa, Rao, Indore - 453331, Madhya Predesh.",Dissolution does not comply as per IP.,,NSQ,CDSCO,stnsqapr25.pdf,,,,,,,,,,,,Dec-24,"State Lab, Drugs Control Laboratory, Telangana.",,,,,
15.,"Albendazole Tablet IP 400 mg,",T24/016A,,Nov-26,"M/s. Samkem 15-B & 10-B, A.K.V.N Industrial Area, Rangwasa, Rao, Indore - 453331, Madhya Predesh.",Dissolution does not comply as per IP.,,NSQ,CDSCO,stnsqapr25.pdf,,,,,,,,,,,,Dec-24,"State Lab, Drugs Control Laboratory, Telangana.",,,,,
16.,Albendazole Tablets IP 400 mg,T24/011A,,Nov-26,"M/s. Samkem 15-B & 10- B,A.K.V.N.Industrial Area, Rangwasa, Rao,Indore- 453331.(M.P.)(WHO-GMP & GLP Certifled Company) (AN ISO 9001:2015 Certifled Company) MADHYA PRADESH",Sample Does not comply in respect of Dissolution Test as per IP.,,NSQ,CDSCO,stnsqapr25.pdf,,,,,,,,,,,,Dec-24,"State Lab, Drugs Control Laboratory, Telangana.",,,,,
17.,"Albendazole Tablet IP 400 mg,",T24/015A,,Nov-25,"M/s. Samkem15-B & 10-B, A.K.V.N. INDUSTRIAL AREA, RANGWASA RAO, INDORE – 453 331 (M.P.) MADHYA PRADESH",Dissolution does not comply as per IP.,,NSQ,CDSCO,stnsqapr25.pdf,,,,,,,,,,,,Dec-24,"State Lab, Drugs Control Laboratory, Telangana.",,,,,
18.,Albendazole Tablets IP 400 mg,T24/018A,,Nov-26,"M/s. Samkem15-B & 10-B, A.K.V.N. INDUSTRIAL AREA, RANGWASA RAO, INDORE – 453 331 (M.P.) MADHYA PRADESH",Dissolution dose not complies as per IP.,,NSQ,CDSCO,stnsqapr25.pdf,,,,,,,,,,,,Dec-24,"State Lab, Drugs Control Laboratory, Telangana.",,,,,
19.,"Albendazole Tablet IP 400 mg,",C25F944019,,May-26,"M/s. Concept Pharmaceuticals Ltdm Khasra No. 104, Asaf",Dissolution dose not complies as per IP.,,NSQ,CDSCO,stnsqapr25.pdf,,,,,,,,,,,,Jun-24,"State Lab, Drugs Control",,,,,
,,,,,"Nagar, Roorkee - 247 667. Uttarakhand.",,,NSQ,CDSCO,stnsqapr25.pdf,,,,,,,,,,,,,"Laboratory, Telangana.",,,,,
20.,"Albendazole Tablet IP 400 mg,",C25F944019,,May-26,"M/s. Concept Pharmaceuticals Ltdm Khasra No. 104, Asaf Nagar, Roorkee - 247 667. Uttarakhand.",Dissolution dose not complies as per IP.,,NSQ,CDSCO,stnsqapr25.pdf,,,,,,,,,,,,Jun-24,"State Lab, Drugs Control Laboratory, Telangana.",,,,,
21.,"Emiral OD Tablets, Ondansetron orally disintegrating Tablets IP",HT24565,,Jun-26,"M/s Habitare Pharma Pvt Ltd Plot no. 43-44, Industrial Estate, HSIIDC, Alipur, Barwala, Distt- Panchakula (HR) - 134118 HARYANA",Disintegration dose not complies as per IP.,,NSQ,CDSCO,stnsqapr25.pdf,,,,,,,,,,,,Jul-24,"State Lab, Drugs Control Laboratory, Telangana.",,,,,
22.,Ambroxol Hydrochloride Syrup 30 mg/5 ml,724559,,Nov-26,"M/s.Syndicate Pharma 185/B, 185/B-1, 187/A & 188, Sector-F, Sanwer Road, Indore-452015 Madhya Pradesh","Misbranded The drug failed to indicate the common name of the colour, used in the drug, on the product label, as required under Rule 127(2) of the Drugs Rules, 1945. The label merely states Approved Colour Used. Hence, the drug is deemed to be Misbranded under Section 17 of the Drugs and Cosmetics Act, 1940, as it is not labeled in the prescribed manner.",,NSQ,CDSCO,stnsqapr25.pdf,,,,,,,,,,,,Dec-24,"S t a t e L a b , Drugs Control Laboratory, Telangana.",,,,,
23.,"Lulimark Creams, Luliconazole Cream 1%",92447,,Aug-26,"M/s. Forever LifeScience Pvt.Ltd. 74/D, Sopan Kesar Industrial Hub, Moraiya, Dist. Ahmedabad - 382213 GUJARAT","Misbranded The drug Product Luliconazole Cream is official, i.e., it is included in the current edition of the Indian Pharamacopoeia (IP- 2022). As required under the Second Schedule of the Drugs and Cosmetics Act, 1940, the said drug Product shall mandatorily comply with the standards set out in the Indian Pharmacopoeia.",,NSQ,CDSCO,stnsqapr25.pdf,,,,,,,,,,,,Sep-24,"S t a t e L a b , Drugs Control Laboratory, Telangana.",,,,,
,,,,,,"However, the designation ""IP""in conjunction with the official title Luliconazole Cream was not mentioned on the label of the drug product as an indication that it purports to comply with IP standards. Hence, drug under Section 17 of the Drugs and Cosmetics Act, 1940 as it is not labeled in the prescribed manner.",,NSQ,CDSCO,stnsqapr25.pdf,,,,,,,,,,,,,,,,,,
24.,Ambroxol Hydrochloride Syrup,724543,,Oct-26,"M/s By: Syndicate Pharma 185/B, 185/B-1, 187/A & 188, Sector-F, Sanwer Road, Indore - 452015 MADHYA PRADESH","Misbranded The drug failed to indicate the common name of the colour, used in the drug, on the product label, as required under Rule 127(2) of the Drugs Rules, 1945. The label merely states Approved Colour Used. Hence, the drug is deemed to be Misbranded under Section 17 of the Drugs and Cosmetics Act, 1940, as it is not labeled in the prescribed manner.",,NSQ,CDSCO,stnsqapr25.pdf,,,,,,,,,,,,Nov-24,"S t a t e L a b , Drugs Control Laboratory, Telangana.",,,,,
25.,Winocin 500 (Paracetamol tablets IP 500 mg),JT-2405719,,Oct-26,"M/s.Jineka Healthcare Pvt. Ltd, Plot No. 15, Sector- 6B, IIE, Ranipur, Haridwar (UK) 249403","The sample does not conform to standard quality in respect of the test for ""Dissolution"" performed.",,NSQ,CDSCO,stnsqapr25.pdf,,,,,,,,,,,,May-24,"State Drugs Testing Laboratory, Agartala, Tripura.",,,,,
26.,Fevimed (Paracetamol tablets IP 500 mg),T-23204,,Aug-25,"M/s.Kshipra Drugs Pvt. Ltd. 40- 41/22B, Industrial Area No. 1, Dewas (MP) 455001.","The sample does not conform to standard quality in respect of the test for ""Dissolution"" performed.",,NSQ,CDSCO,stnsqapr25.pdf,,,,,,,,,,,,Sep-23,"State Drugs Testing Laboratory, Agartala, Tripura.",,,,,
27.,Sucrapolis-O Suspension,CSDL24368,,Sep-26,"M/s.CSD Lifesciences, Village:Malkumajra, Morepen",sample does not conform to label claim,,NSQ,CDSCO,stnsqapr25.pdf,,,,,,,,,,,,Oct-24,"Drugs Testing Laboratory, Chennai - 6",,,,,
,,,,,"Road, Baddi, Distt, Solan (HP)- 173205",with respect to the content of Oxetacaine,,NSQ,CDSCO,stnsqapr25.pdf,,,,,,,,,,,,,,,,,,
28.,Gentamicin Injection I.P- 2ml,24BUH83,,Jul-26,"M/s.SVP Life Sciences, C/10-1, Sara Industrial Estate, Selequi, Dehradun.",Sample does not conform to the requirement for pH.,,NSQ,CDSCO,stnsqapr25.pdf,,,,,,,,,,,,Aug-24,"King Institute of Preventive Medicine & Research, Guindy, Chennai-32",,,,,
29.,Gentamicin Injection I.P- 2ml,YGN4102,,Jun-26,"M/s.Yeluri formulations Pvt Ltd, Sy.296/7/6, I.D.A Bollaram, Samgareddy, District-502 325. Telangana-India.",Sample does not conform to the requirement for pH.,,NSQ,CDSCO,stnsqapr25.pdf,,,,,,,,,,,,Jul-24,"King Institute of Preventive Medicine & Research, Guindy, Chennai-32",,,,,
30.,Cefixime Tablets IP 400 mg,HTB404G,,Jun-26,"M/s.Himalaya Meditek Pvt Ltd, Plot No.35&36 Pharmacity, Selaqui Industrial Area, Dehradun - 248 197",Sample does not conform to IP Specification for Cefixime Tablets with respect to the content of Anhydrous Cefixime in Cefixime Trihydrate.,,NSQ,CDSCO,stnsqapr25.pdf,,,,,,,,,,,,Jul-24,"Drugs Testing Laboratory, Madurai-19",,,,,
31.,L-Histact-M Tablets,24DT122A,,May-27,"M/s.Kashmik Formuation Pvt Ltd, PF-13, Opp procter & Gamble, Bol GIDC-2, Sanand, Ahmedabad - 382 170, Gurarat, India",Sample does not conform to IP Specification for Levocetrizine Hydrocloride and Montelukast Tablets with respect to the contect of Levocetrizine Hydrochloride and Montelukast in Montelukast in Montelukast sodium.,,NSQ,CDSCO,stnsqapr25.pdf,,,,,,,,,,,,Jun-26,"Drugs Testing Laboratory, Madurai-19",,,,,
32.,Kelan Soap(Ketoconazole Meidcated Soap),8091,,Sep-26,"M/s.Vimson Derma, 816/3, Kothari Estate, Santej-382 721 (Gujarat)",sample does not conform to label claim with respect to the content of Ketoconazole,,NSQ,CDSCO,stnsqapr25.pdf,,,,,,,,,,,,Oct-26,"Drugs Testing Laboratory, Madurai-19",,,,,
33.,Cefixime & Potassium Clavulanate Tablets (Alfix-CV),CT24117D,,Jan-26,"M/s.Curehealth Pharmaceticals Pvt Ltd, Vill Ranupur, P.O Deothi , Tehsil & District Solan (HP) 173211",Sample does not conform to label claim with respect to the content of Clavulanic Acid in Potassium Clavulanate.,,NSQ,CDSCO,stnsqapr25.pdf,,,,,,,,,,,,Aug-24,"Drugs Testing Laboratory, Madurai-19",,,,,
34.,Lelet-M Syrup (Montelukast Sodium and levocetirizine hydrochloride syrup),LLMS-063,,Mar-26,"M/s.IOSIS Remedies pvt ltd, Rajpura road, village-khera nihla, Tehsil-Nalagarh, District-solan. Himachal Pradesh - 174 101 India",sample does not conform to label claim with respect to content of Montelukast in Montelukast sodium,,NSQ,CDSCO,stnsqapr25.pdf,,,,,,,,,,,,Apr-24,"Drugs Testing Laboratory, Madurai-19",,,,,
35.,Amoxycillin and potassium clavulanate tablets IP (AUGMONT CV 625 DUP Co- amoxiclav),BT408244A,,Apr-26,"M/s.Nikvin Healthcare (I) Pvt Ltd, Baddi-Barotiwala Road, Behind Govt, Toimber Depot Vill, Katha. Baddi(HP)-173 205",Sample does not conform to IP specification for amoxycillin and potassium clavulanate tablets with respect to the content of Clavulanic acid in potassium clavulanate.,,NSQ,CDSCO,stnsqapr25.pdf,,,,,,,,,,,,Aug-24,"Drugs Testing Laboratory, Madurai-19",,,,,
36.,Amoxycillin and potassium clavulanate tablets IP 625 mg,BT240491,,Apr-26,"M/s.Hindustan Antibiotics Ltd, at: Village Saini Majra, Tehsil Nalagarh Dist. Solan (HP) - 174 101",Sample does not conform to IP specification for amoxycillin and potassium clavulanate tablets with respect to the content of Clavulanic acid in potassium clavulanate.,,NSQ,CDSCO,stnsqapr25.pdf,,,,,,,,,,,,May-24,"Drugs Testing Laboratory, Madurai-19",,,,,
37.,Lidocaine Hydrochloride and Gabapentin Gel (Gabaneuron Gel),PWBBO7,,Nov-25,"M/s.Pure & Cure Healthcare Pvt Ltd,(A Subsidiary of Akums Drugs & Pharmaceuticals Ltd) Plot No. 26A, 27-30,Sectir-8A, I.I.E, SIDCUL, Raniput, Haridwar-249 403, Uttarakhand",Sample does not conform to lebel claim with respect to the content of Gabapentin,,NSQ,CDSCO,stnsqapr25.pdf,,,,,,,,,,,,Jun-24,"Drugs Testing Laboratory, Madurai-19",,,,,
38.,Petben (Benzoyl peroxide shampoo 2.5%),0000678585,,Feb-26,"M/s.Hidustan Antibitics Ltd, at Village Saini Majra, Tehsil Nalagarh Dist. Solan (HP) - 174 101",Sample does not conform to lebel claim with respect to description of shampoo,,NSQ,CDSCO,stnsqapr25.pdf,,,,,,,,,,,,Mar-24,"Drugs Testing Laboratory, Madurai-19",,,,,
39.,Omeprazole Capsules IP 20mg,HCN423F,,May-26,"M/s.Himalaya Meditek Pvt Ltd, Plot No.35&36 Pharmacity, Selaqui Industrial Area, Dehradun - 248 197",Sample does not conform to IP specification with respect to Uniformity of weight,,NSQ,CDSCO,stnsqapr25.pdf,,,,,,,,,,,,Jun-24,"Drugs Testing Laboratory, Madurai-19",,,,,
40.,"Clotrimazole and Selenium Sulfide Suspension, candid tv",46230305,,Nov-25,"M/s.Glenmark Pharmaceuticals Ltd, At, Plot No. 38939 Sector-II, I.I.E, Sidcul, Haridwar, Uttarakhand-249 403.",Sample does not conform to label claim with respect to identification and the content of clotrimazole (Deemed to be spurious),,NSQ,CDSCO,stnsqapr25.pdf,,,,,,,,,,,,Dec-23,"Drugs Testing Laboratory, Madurai-19",,,,,
41.,Bisacodyl Tablets Ip 5mg,TA24366,,Apr-26,"M/s. Saintlife Pharmaceuticals Ltd, 323, Central Hope Town, Industrial Area, Selaqui, Dehradun-248011, Uttarakhand.",Sample does not conform to IP specification for Bisacodyl Tablets with respect to Dissolution,,NSQ,CDSCO,stnsqapr25.pdf,,,,,,,,,,,,Jun-42,"Drugs Testing Laboratory, Chennai-06",,,,,
42.,Amoxycillin & Potassium Calvulanate Tablets,BT406210A,,May-26,"M/s.Nikvin Healthcare (I) Pvt Ltd, Baddi-Barotiwala Road, Behind Govt, Toimber Depot Vill, Katha. Baddi(HP)-173 205",Sample does not conform to IP specification for Amoxycillin and Potassium Clavulanate Tablets with respect to Dissolution for Clavulanic Acid and to the content of Clavulanic Acid in Potassium Clavulanate Diluted,,NSQ,CDSCO,stnsqapr25.pdf,,,,,,,,,,,,Jun-24,"Drugs Testing Laboratory, Chennai-06",,,,,
43.,Nitrobi-CR 2.6(Nitroglycerin Controlled Release Tablets 2.6mg),JT-2312229,,Nov-25,"M/s.Jeneka Healthcaere Pvt Ltd, Khasra No.507-525, Bedpur Crossing Bhagwanpur By Pass, Roorkee, Distt, Haridwar, Uttarakhand.",Sample does not conform to Label Claim with respect to the content of Nitroglycerine in Diluted,,NSQ,CDSCO,stnsqapr25.pdf,,,,,,,,,,,,Dec-23,"Drugs Testing Laboratory, Madurai-19",,,,,
44.,Bisacodyl Tablets IP 5mg,TA24688,,Jul-26,"M/s.Saintlife Pharmaceuticals Ltd, 323, Central Hope Town, Industrial Area, Selaqui, Dehradun-248011, Uttarakhand.",Sample does not conform to IP specification for Bisacodyl Tablets with respect to Dissolution (Acid medium and Buffer medium),,NSQ,CDSCO,stnsqapr25.pdf,,,,,,,,,,,,Aug-24,"Drugs Testing Laboratory, Chennai-06",,,,,
45.,Moxivin-CV 625 (Amoxycillin and Potassium Calvulnate Tablets IP),VMIT2404,,Sep-26,"M/s.Vertex Pharma Chemicals, Plot No.60-A,61-A, PIPDIC Electronic Park, Thirubhuvanai, Puducherry-605107","The Sample does not conform to IP specification for Amoxycillin and Potassium Clavulanate Tablets with respect to Identification of Potassium Clavulanate, Uniformity of weight and content of Amoxycillin in Amoxycillin Trihydrate and Clavulanic Acid in Potassium Clavulanate (Deemed to be spurious).",,NSQ,CDSCO,stnsqapr25.pdf,,,,,,,,,,,,Oct-24,"Drugs Testing Laboratory, Madurai-19",,,,,
